"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0080";"Flour of Millet";"Broadly defined to include meal, groats and pellets.";79
"0081";"Bran of Millet";"See Chapter 11.";79
"0082";"Beer of Millet";"See Chapter 15.";79
"0083";"SORGHUM
Sorghum spp.:
guinea corn (S. guineense);
common, milo, feterita, kaffir
corn (S. vulgare);
durra, jowar, kaoliang (S. dura)";"A cereal that has both food and feed uses. Sorghum is a major food
grain in most of Africa, where it is also used in traditional beer
brewing. It is desirable to report hybrid and other varieties
separately.";0
"0084";"Flour of Sorghum";"Broadly defined to include meal, groats and pellets.";83
"0085";"Bran of Sorghum";"See Chapter 11.";83
"0086";"Beer of Sorghum";"See Chapter 15.";83
"0089";"BUCKWHEAT
Fagopyrum esculentum
(Polygonaceae)";"A minor cereal cultivated primarily in northern regions. Buckwheat is
considered a cereal, although it does not belong to the gramineous
family.";0
"0090";"Flour of Buckwheat";"Broadly defined to include meal, groats and pellets. The flour is
normally used in bread and crackers, and is also mixed with wheat
flour. Meal and groats are normally used for soups.";89
"0091";"Bran of Buckwheat";"See Chapter 11.";89
"0092";"QUINOA
Chenopodium quinoa
(Chenopodiaceae)";"A minor cereal, which tolerates high altitudes, quinoa is cultivated
primarily in Andean countries. Used for food and to make chicha, a
fermented beverage.";0
"0094";"FONIO
Digitaria spp.:
fonio or findi (D. exilis);
black fonio or hungry rice
(D. iburua)";"A minor cereal of importance only in West Africa where it is eaten in
place of rice during famines. The seeds are cooked by steaming the
whole grain.";0
"0095";"Flour of Fonio";"Broadly defined to include meal, groats and pellets.";94
"0096";"Bran of Fonio";"See Chapter 11.";94
"0097";"TRITICALE";"A minor cereal that is a cross between wheat and rye, combining the
quality and yield of wheat with the hardiness of rye.";0
"0098";"Flour of Triticale";"Broadly defined to include meal, groats and pellets.";97
"0099";"Bran of Triticale";"See Chapter 11.";97
"0101";"CANARY SEED
Phalaris canariensis";"Minor cereal normally used as bird feed.";0
"0103";"MIXED GRAIN";"A mixture of cereal species that are sown and harvested together.  The
mixture wheat/rye is known as meslin, but in trade is usually
classified with wheat.";0
"0104";"Flour of Mixed Grain";"Broadly defined to include meal, groats and pellets.";103
"0105";"Bran of Mixed Grain";"See Chapter 11.";103
"0108";"CEREALS NES
Including inter alia:
canagua or coaihua
(Chenopodium pallidicaule);
quihuicha or Inca wheat
(Amaranthus caudatus);
adlay or Job's tears
(Coix lacryma-jobi);
wild rice (Zizania aquatica)";"Other cereal crops that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report cereals under this commodity
heading that are classified individually by FAO.";0
"0111";"Flour of Cereals nes";"Broadly defined to include meal, groats and pellets.";108
"0112";"Bran of Cereals nes";"See Chapter 11.";108
"0109";"Infant Food";"Preparations for infant consumption, usually containing some
non-cereal ingredients.";108
"0110";"Wafers";"Communion wafers, empty cachets for pharmaceutical use and sealing
wafers.";108
"0041";"Breakfast Cereals";"Foods prepared by swelling and roasting cereals or cereal products,
e.g. corn flakes, puffed rice; cereals o/t maize, in grain form,
precooked or otherwise prepared.";108
"0113";"Cereal Preparations";"Cereal grains, excluding barley and oats, that are either rolled,
flaked, pearled, sliced or kibbled.";108
"0114";"Mixes and Doughs";"Used in the preparation of bakers' wares.";108
