"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0392";"Tomatoes, Peeled";"Prepared or preserved o/t by vinegar; either whole or in pieces.";388
"0393";"CAULIFLOWER
Brassica oleracea var. botrytis,
subvariety cauliflora and cymosa";"Includes headed broccoli.";0
"0394";"PUMPKINS, SQUASH, GOURDS
Cucurbita spp";"Includes marrows.";0
"0397";"CUCUMBERS, GHERKINS
Cucumis sativus";"Â";0
"0399";"EGGPLANTS
Solanum melongena";"Also called aubergines.";0
"0401";"CHILLIES, PEPPERS (GREEN)
Capsicum annuum; C. fructescens;
Pimenta officinalis";"Production data exclude crops cultivated explicitly as spices. In
contrast, trade data include these crops, provided they are fresh,
uncrushed and unground.";0
"0402";"ONIONS, SHALLOTS (GREEN)
shallots (Allium ascalonicum);
onions (A. cepa);
welsh onions (A. fistulosum)";"Young onions pulled before the bulb has enlarged; used especially in
salads. Includes onion sets.";0
"0403";"ONIONS, DRY
Allium cepa";"Includes onions at a mature stage, but not dehydrated onions.";0
"0406";"GARLIC
Allium sativum";"Â";0
"0407";"LEEKS AND OTHER ALLIACEOUS VEGETAB
leeks (Allium porrum);
chives (A. schoenoprasum);
other alliac. (Allium varieties except those of 0402, 0403 and 0406)";"Â";0
"0414";"BEANS, GREEN
Phaseolus and Vigna spp.";"For shelling.";0
"0417";"PEAS, GREEN
Pisum sativum";"Mostly for shelling, but including edible- podded peas or sugar peas.";0
"0420";"BROAD BEANS, GREEN
Vicia faba";"For shelling.";0
"0423";"STRING BEANS
Phaseolus vulgaris; Vigna spp";"Not for shelling";0
"0426";"CARROTS
Daucus carota";"Trade data may include turnips (Brassica rapa var. rapifera).";0
"0430";"OKRA
Abelmoschus esculentus; Hibiscus
esculentus";"Also called gombo.";0
"0446";"GREEN CORN (MAIZE)
Zea mays, particularly var. saccharata";"Maize harvested green for food. Saccharata variety is commonly known
as sweet corn.";0
"0447";"Sweet Corn, Frozen";"Either uncooked, or cooked by steaming or boiling in water, and then
frozen.";446
"0448";"Sweet Corn, Prepared or Preserved";"Prepared or preserved other than by vinegar or acetic acid; not
frozen.";446
"0449";"MUSHROOMS
Including inter alia:
Boletus edulis; Agaricus campestris;
Morchella spp. and Tuber magnatum";"Cultivated or spontaneous. Includes truffles.";0
"0450";"Dried Mushrooms";"Mushrooms and truffles, whether dried, dehydrated, evaporated or
freeze-dried.";449
"0451";"Canned Mushrooms";"Mushrooms and truffles, prepared or preserved o/t by vinegar or acetic
acid; either whole, in pieces, or homogenized.";449
"0567";"WATERMELONS
Citrullus vulgaris";"";0
"0568";"MELONS, CANTALOUPES
Cucumis melo";"";0
"0463";"VEGETABLES, FRESH NES>
Including inter alia:
bamboo shoots (Bambusa spp.);
beets, chards (Beta vulgaris);
capers (Capparis spinosa);
cardoons (Cynara cardunculus);
celery (Apium graveolens);
chervil (Anthriscus cerefolium);
cress (Lepidium sativum);
fennel (Foeniculum vulgare);
horseradish (Cochlearia armoracia);
marjoram, sweet (Majorana hortensis);
oyster plant (Tragopogon porrifolius);
parsley (Petroselinum crispum);
parsnips (Pastinaca sativa);
radish (Raphanus sativus);
rhubarb (Rheum spp.);
rutabagas, swedes (Brassica napus);
savory (Satureja hortensis);
scorzonera (Scorzonera hispanica);
sorrel (Rumex acetosa);
soybean sprouts tarragon (Artemisia dracunculus);
watercress (Nasturtium officinale)";"Other vegetables that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report vegetables under this heading
that are classified individually by FAO.";0
"0466";"Juice of Vegetables nes";"Juice obtained by pressing, or by treatment with water or with steam,
then submitted to various processes. Vegetable juice may contain added
salt, spices or flavouring substances.";463
"0469";"Vegetables, Dehydrated";"Vegetables that are dried, dehydrated, evaporated or freeze-dried.
Includes dried vegetables that are broken or powdered.";463
"0471";"Vegetables in Vinegar";"Vegetables, fruit, nuts and other edible parts of plants, prepared or
preserved with vinegar or acetic acid, with or without added sugar,
salt, spices, etc. Includes pickles.";463
"0472";"Vegetables, Preserved nes";"Vegetables prepared or preserved o/t by vinegar and which have not
been frozen.";463
"0473";"Vegetables, Frozen";"Vegetables, either uncooked, or cooked by steaming or boiling in
water, and then frozen.";463
"0474";"Vegetables, Temporarily preserved";"Vegetables preserved with SO2, brine, etc., but which are unsuitable
for consumption in that state.";463
"0475";"Vegetables, Preserved (Frozen)";"Vegetables that are prepared or preserved o/t by vinegar, and then
frozen.";463
"0476";"Homogenized Vegetable";"Preparations
Vegetables prepared for dietetic and infant food.";463
"0486";"BANANAS
Musa sapientum; M. cavendishii; M. nana";"Bananas are normally eaten raw. Trade figures may include dried
bananas. Data should be reported excluding the weight of the central
stalk.";0
"0489";"PLANTAINS
Musa paradisiaca";"Generally known as a cooking banana. Data should be reported excluding
the weight of the central stalk";0
"0490";"ORANGES
common, sweet orange (Citrus sinensis);
bitter orange (C. aurantium)";"Bitter oranges are used primarily in the preparation of marmalade.";0
"0491";"Juice of Orange";"Juice is obtained by mechanical extractors, or by pressing, and is
then submitted to various processes. Unfermented, it may or may not be
frozen. For direct consumption.";490
"0492";"Orange Juice, Concentrated";"Juice that is obtained by a concentration process in which the water
is physically removed from the juice until it has not less than 20% of
solids by weight. It is then reconstituted with water before
consumption. Unfermented, it may or may not be frozen.";490
"0495";"TANGERINES, MANDARINS,
CLEMENTINES, SATSUMAS
mandarin, tangerine (Citrus reticulata);
clementine, satsuma (C. unshiu)";"";0
"0496";"Juice of Tangerine";"See 0491.";495
"0497";"LEMONS AND LIMES
lemon (Citrus limon);
sour lime (C. aurantifolia);
sweet lime (C. limetta)";"Â";0
"0498";"Juice of Lemon";"See 0491.";497
"0499";"Lemon Juice, Concentrated";"See 0492.";497
"0507";"GRAPEFRUIT AND POMELO
Citrus maxima; C. grandis; C. paradisi";"Â";0
"0509";"Juice of Grapefruit";"See 0491.";507
"0510";"Grapefruit Juice, Concentrated";"See 0492.";507
"0512";"CITRUS FRUIT NES
Including inter alia:
bergamot (Citrus bergamia);
citron (C. medica var. cedrata);
chinotto (C. myrtifolia);
kumquat (Fortunella japonica)";"Some minor varieties of citrus are used primarily in the preparation
of perfumes and soft drinks.";0
"0513";"Juice of Citrus Fruit nes";"See 0491.";512
"0514";"Citrus Juice, Concentrated nes";"See 0492.";512
"0515";"APPLES
Malus pumila; M. sylvestris; M. communis; Pyrus malus";"Â";0
"0517";"Cider, etc.";"See Chapter 15.";515
"0518";"Apple Juice";"See 0491.";515
"0519";"Apple Juice, Concentrated";"See 0492.";515
"0521";"PEARS
Pyrus communis";"Â";0
"0523";"QUINCES
Cydonia oblonga; C. vulgaris; C. japonica";"Â";0
"0542";"POME FRUIT NES";"Other pome fruit not separately identified. In some countries apples,
pears and quinces are reported under this general category.";0
"0526";"APRICOTS
Prunus armeniaca";"Â";0
"0527";"Apricots, Dried";"Prepared either by direct drying in the sun or by industrial
processes. May be marketed as slices or blocks of pulp, either dried
or evaporated.";526
"0530";"SOUR CHERRIES
Prunus cerasus; Cerasus acida";"&NBsp;";0
"0531";"CHERRIES
mazzard, sweet cherry
(Prunus avium; Cerasus avium);
hard-fleshed cherry (var. duracina);
heart cherry (var. juliana)";"Â";0
"0534";"PEACHES AND NECTARINES
Prunus persica; Amygdalus persica;
Persica laevis";"Â";0
"0536";"PLUMS
greengage, mirabelle, damson (Prunus domestica);
sloe (P. spinosa)";"Â";0
"0537";"Plums, Dried";"See 0527. Known as prunes.";536
"0538";"Juice of Plum";"See 0491.";536
"0539";"Juice of Plum, Concentrated";"See 0492.";536
"0541";"STONE FRUIT, FRESH NES";"Other stone fruit not separately identified. In some countries,
apricots, cherries, peaches, nectarines and plums are reported under
this general category.";0
"0544";"STRAWBERRIES
Fragaria spp.";"Â";0
"0547";"RASPBERRIES
ubus idaeus";"Trade data may include blackberries, mulberries and loganberries (a
cross between the raspberry and blackberry).";0
"0549";"GOOSEBERRIES
Ribes grossularia";"Trade data may sometimes include black, white or red currants.";0
"0550";"CURRANTS
black (Ribes nigrum);
red and white (R. rubrum)";"Trade data may sometimes include gooseberries.";0
"0552";"BLUEBERRIES
European blueberry, wild bilberry,
whortleberry (Vaccinium myrtillus);
American blueberry (V. corymbosum)";"Trade data may include cranberries, myrtle berries and other fruits of
the genus Vaccinium.";0
"0554";"CRANBERRIES
American cranberry (Vaccinium macrocarpon);
European cranberry (V. oxycoccus)";"Trade data may include blueberries, myrtle berries and other fruits of
the genus Vaccinium.";0
"0558";"BERRIES NES
Including inter alia:
blackberry (Morus nigra);
loganberry;
white, red mulberry (M. alba; M. rubra);
myrtle berry (Myrtus communis) huckleberry,
dangleberry (Gaylussacia spp.)";"Other berries not separately identified. In some countries, some or
all of the berries listed previously are reported under this general
category.";0
"0560";"GRAPESVitis vinifera";"Includes both table and wine grapes.";234
"0561";"Raisins";"Dried grapes. Includes sultanas and currants.";234
"0562";"Juice of Grape";"See 0491. Includes unfermented grape must.";234
"0563";"Must of Grape";"See Chapter 15.";234
"0565";"Vermouths, etc.";"See Chapter 11.";234
"0569";"FIGS
Ficus carica";"Â";0
"0570";"Figs, Dried";"See 0527.";569
"0587";"PERSIMONS
Diospyros kaki: D. virginiana";"Â";0
"0592";"KIWI FRUIT
Actinidia chinensis";"";0
"0571";"MANGOES
Mangifera indica";"Trade figures may include dried mangoes, guavas and mangosteens,
including both fresh and dried.";0
"0583";"Juice of Mango";"See 0491.";571
"0584";"Mango Pulp";"Fruit pulp prepared in water, syrup, etc.";571
"0572";"AVOCADOS
Persea americana";"Â";0
"0574";"PINEAPPLES
Ananas comosus; A. sativ";"Trade figures may include dried pineapples.";0
"0575";"Pineapples, Canned";"Fruit pulp prepared in water, syrup, etc.";574
"0576";"Juice of Pineapples";"See 0491.";574
"0580";"Juice of Pineapples, Concentrated";"See 0492. Soluble fruit solids of not less than 27% by weight.";574
"0577";"DATES
Phoenix dactylifera";"Includes fresh and dried fruit.";0
"0591";"CASHEWAPPLE
Anacardium occidentale";"The thickened, fleshy stem below the cashew nut. When soft it is used
for jam.";0
"0600";"PAPAYAS
Carica papaya";"Â";0
"0603";"FRUIT, TROPICAL (FRESH) NES
Including inter alia:
breadfruit (Artocarpus incisa);
carambola (Averrhoa carambola);
cherimoya, custard apple (Annona spp.);
durian (Durio zibethinus);
feijoa (Feijoa sellowiana);
guava (Psidium guajava);
hog plum, mombin (Spondias spp.);
jackfruit (Artocarpus integrifolia);
longan (Nephelium longan);
mammee (Mammea americana);
mangosteen (Garcinia mangostana);
naranjillo (Solanum quitoense);
passion fruit (Passiflora edulis);
rambutan (Nephelium lappaceum);
sapote, mamey colorado (Calocarpum mammosum);
sapodilla (Achras sapota);
star apple, cainito (Chrysophyllum spp.)";"Other tropical fresh fruit that are not identified separately because
of their minor relevance at the international level. In some countries
mangoes, avocados, pineapples, dates and papayas are reported under
this general category.";0
"0604";"Fruit, Tropical (Dried) nes";"Including, whenever possible, dried bananas, plantains and pineapples
as well as other unlisted tropical fruits.";603
"0619";"FRUIT, FRESH NES
Including inter alia:
azarole (Crataegus azarolus);
babaco (Carica pentagona);
elderberry (Sambucus nigra);
jujube (Zizyphus jujuba);
litchi (Nephelium litchi);
loquat (Eriobotrya japonica);
medlar (Mespilus germanica);
pawpaw (Asimina triloba);
pomegranate (Punica granatum);
prickly pear (Opuntia ficus-indica);
rose hips (Rosa spp.);
rowanberry (Sorbus aucuparia);
service-apple (Sorbus domestica);
tamarind (Tamarindus indica);
tree-strawberry (Arbutus unedo)";"Other fresh fruit that are not identified separately because of their
minor relevance at the international level. Because of their limited
local importance, some countries report fresh fruit under this heading
that are classified separately by FAO.";0
"0620";"Fruit, Dried nes";"Dried fruit other than apricots, dates, citrus, figs, grapes, nuts and
plums.";619
"0622";"Juice of Fruits nes";"See 0491.";619
"0623";"Fruit, Prepared nes";"Fruit, nuts and peel, including frozen, prepared or preserved, jam,
paste, marmalade, purÂ‚e and cooked fruits, other than those listed
separately.";619
"0624";"Flour of Fruits";"Includes the flour, meal, powder, nuts and peel of fruits.";619
"0625";"Fruit, Nuts, Peel, Sugar Preserved";"Fruit, nuts, fruit peel, and other parts of plants preserved with
sugar (either drained, glazed or crystallized).";619
"0626";"Homogenized Cooked Fruit, Prepared";"Cooked fruit preparations, homogenized for dietetic and infant foods.";619
"0628";"Pulp, Waste of Fruit for Feed";"See Chapter 3.";619
"0767";"COTTON LINT
Gossypium spp";"Fibres from ginning seed cotton that have not been carded or combed.
Trade data also include fibres that have been cleaned, bleached, dyed
or rendered absorbent.";0
"0768";"Cotton, Carded or Combed";"Cotton (including garnetted stock and other cotton waste) which has
been carded or combed, whether or not further prepared for spinning.
May be bleached or dyed.";767
"0769";"Cotton Waste";"Waste is produced when cotton is prepared for spinning, or during
spinning operations, weaving, knitting, etc., or from garnetting
cotton goods.";767
"0770";"Cotton Linters";"Very short fibres that cover the seeds after ginning and that are very
high in cellulose.";767
"0771";"[FLAX, RAW OR RETTED]
Linum usitatissimum
Flax Straw";"Flax is cultivated for seed as well as for fibre. The fibre is
obtained from the stem of the plant. Data are reported in terms of
straw.";0
"0773";"FLAX FIBRE AND TOW";"Broken, scutched, hackled etc. but not spun. Traditionally, FAO has
used this commodity to identify production in its raw state; in
reality, the primary agricultural product is the commodity 0771, which
can either be used for the production of fibre or for other purposes.";0
"0774";"Flax Tow and Waste";"Includes yarn waste and garnetted stock.";773
"0777";"HEMP FIBRE AND TOW
Cannabis sativa";"This plant is cultivated for seed as well as for fibre. The fibre is
obtained from the stem of the plant. Trade data include raw, retted,
scutched, combed fibre, tow and waste.";0
"0778";"KAPOK FIBRE
Ceiba pentandra";"This plant is cultivated for seed as well as for fibre. Trade data
cover only fibres that have been crushed, carded or combed for
spinning.";0
"0780";"JUTE
white jute (Corchorus capsularis);
red jute, tossa (C. olitorius)";"Trade data cover raw or processed jute (but not spun), tow and waste,
yarn waste and garnetted stock and may include jute-like fibres.";0
"0782";"JUTE-LIKE FIBRES
Including inter alia:
China jute (Abutilon avicennae);
Congo jute, malva, paka (Urena lobata; U. sinuata);
Indian flax (Abroma augusta);
kenaf, meshta (Hibiscus cannabinus);
rosella hemp (H. sabdariffa);
sunn hemp (Crotalaria juncea)";"This definition covers all textile fibres extracted from the stems of
dicotyledonous plants, o/t flax, ramie, true hemp and true jute. For
trade coverage see 0780.";0
"0788";"RAMIE
China grass, white ramie (Boehmeria nivea);
rhea, green ramie (B. tenacissima)";"Ramie fibre is obtained from the bast of the plant. For trade coverage
see 0780";0
"0789";"SISAL
Agave sisalana";"Sisal fibre is obtained from the leaves of the plant. It also is used
as an ornamental plant. Trade data cover fibres that are raw, prepared
for spinning, and tow and waste, including yarn waste and garnetted
stock.";0
"0800";"AGAVE FIBRES NES
Including inter alia:
Haiti hemp (Agave foetida);
henequen (A. fourcroydes);
ixtle, tampico (A. lecheguilla);
maguey (A. cantala);
pita (A. americana);
Salvador hemp (A. letonae)";"See 0789. The leaves of some agave varieties are used for the
production of alcoholic beverages, such as aquamiel, mezcal, pulque
and tequila.";0
"0809";"ABACA MANILA HEMP
Musa textilis";"The fibre is obtained from stalks of certain banana trees. For trade
coverage see 0789.";0
"0813";"COIR
Cocos nucifera";"Coir fibre is obtained from the fibrous covering of the mesocarp. For
trade coverage see 0789.";0
"0821";"FIBRE CROPS NES
Including inter alia:
alfa, esparto (Lygeum spartum;
Stipa tenacissima);
bowstring hemp (Sansevieria spp.);
caroa (Neoglaziovia variegata);
fuque fibre (Furcraea macrophylla);
Mauritius hemp (F. gigantea);
New Zealand flax (Phormium tenax);
palma ixtle (Samuela carnerosana)";"Other fibres that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report vegetable fibres under this
commodity heading that are classified individually by FAO. The fibre
is obtained from the leaves, stalks or fruit of the plant. In
instances where the fibrous part is normally used for other purposes,
data cover only those fibres intended for spinning. For trade coverage
see 0789.";0
"0987";"WOOL, GREASY";"A natural fibre taken from sheep or lambs. Includes fleece-washed,
shorn and pulled wool (from slaughtered animals), but does not include
carded or combed wool.";0
"0988";"Wool, Degreased";"Includes scoured and carbonized, but does not include carded or combed
wool.";987
"1007";"Wool, Shoddy";"Garnetted stock of wool or of fine or coarse animal hair obtained by
garnetting rags or waste of spinning, weaving, knitting etc.";987
"1008";"Hair, Carded, Combed";"Wool and fine or coarse animal hair, carded or combed, including
combed wool in fragments.";987
"1009";"Wool, Hair Waste";"Noils of wool or animal hair not garnetted;  other waste of wool and
animal hair (excluding horsehair) not covered in 1007.";987
"1010";"Wool Tops";"Slivers consisting of long fibres laid parallel by combing and then
wound into balls.";987
"1030";"FINE GOAT HAIR";"Hair from cashmere, angora (mohair) and similar goats. Excludes carded
or combed hair.";0
"1031";"COARSE GOAT HAIR";"Common goat hair. Not carded or combed hair.";0
"1100";"HAIR OF HORSES";"Includes hair of the manes and tails of equine and bovine animals and
waste therefrom.  Hair from flanks included in 1219.";0
"1185";"COCOONS, REELABLE";"Silkworm cocoons suitable for reeling. Foreign trade data are
expressed in silk equivalent, which is 25% of their weight.";0
"1186";"Silk, Raw";"Obtained by reeling the filaments from cocoons. Not thrown.";1185
"1187";"Cocoons Unreelable, Waste";"Include cocoons unsuitable for reeling and silk waste of all kinds.
Not carded or combed.";1185
"1218";"HAIR, FINE";"Fine animal hair, mainly from alpaca, llama, vicuÂ¤a, camel and angora
rabbit. Excludes carded or combed hair.";0
"1219";"HAIR, COARSE NES";"Hair from flanks of equines and bovines, as well as hair from other
animals, such as dogs and monkeys. Excludes carded or combed hair.";0
"0687";"PEPPER
black, white pepper (Piper nigrum);
long pepper (P. longum)";"Perennial climbing vines. Includes whole, crushed or ground berries.
Black pepper is produced from partially ripe berries, while white
pepper is from fully ripe berries which have had the outer hull
removed.";0
"0689";"PIMENTO
red and cayenne pepper, paprika, chillies (Capsicum frutescens; C.
annuum);
allspice, Jamaica pepper (Pimenta officinalis)";"Uncrushed or unground fresh pimentos are considered to be vegetables.
See Chapter 7.";0
"0692";"VANILLA
Vanilla planifolia; V. pompona";"The fruit (or bean) of a climbing plant of the orchid family. Includes
whole, crushed or ground.";0
"0693";"CINNAMON (CANELLA)
Ceylon cinnamon (Cinnamomum zeylanicum);
Chinese, common cinnamon, cassia (C. cassia)";"The inner bark of young branches of certain trees of the Laurus
family. Includes cinnamon- tree flowers, cinnamon fruit and cinnamon
waste (chips), whether whole, crushed or ground.";0
"0698";"CLOVES
Eugenia caryophyllata;
Caryophyllus aromaticus";"The whole fruit of the clove tree, including the flowers picked before
maturity and dried in the sun, and the stems of the clove flowers.";0
"0702";"NUTMEG, MACE, CARDAMONS
nutmeg, mace (Myristica fragrans);
cluster cardamon (Elettaria cardamomum);
other cardamons (Aframomum angustifolium; A. hambury;
Amomun aromaticum; A. cardamomum);
Malaguetta pepper, grains of paradise (Aframomum melegueta)";"Nutmeg is the inner brown kernel of the fruit of the nutmeg tree. Mace
is the net-like membrane between the outer shell and the kernel.
Cardamon seeds are enclosed in the capsule produced by perennial herbs
of the Zingiberaceae family.";0
"0711";"ANISE, BADIAN, FENNEL
Include: anise (Pimpinella anisum);
badian or star anise (Illicium verum);
caraway (Carum carvi);
coriander (Coriandrum sativum);
cumin (Cuminum cyminum);
fennel (Foeniculum vulgare);
juniper berries (Juniperus communis)";"Seeds and berries from the various plants listed. They are normally
used as spices, but also have industrial (e.g. in distilleries) and
medicinal applications.";0
"0720";"GINGER
Zingiber officinale";"Rhizome of a perennial herb. It also is used for making beverages.
Includes fresh, provisionally preserved or dried, whereas ginger
preserved in sugar or syrup is excluded.";0
"0723";"SPICES NES
Including inter alia:
bay leaves (Laurus nobilis);
dill seed (Anethum graveolens);
fenugreek seed (Trigonella foenum-graecum);
saffron (Crocus sativus);
thyme (Thymus vulgaris);
turmeric (Curcuma longa)";"Other spices that are not identified separately because of their minor
relevance at the international level. Because of their limited local
importance, some countries report spices under this heading that are
classified individually by FAO. This heading also includes curry
powder and other mixtures of different spices.";0
"0656";"COFFEE, GREEN
Coffea spp. (arabica, robusta, liberica)";"Raw coffee in all forms.";0
"0657";"Coffee, Roasted";"With or without caffeine, and whether or not ground.";656
"0658";"Coffee Substitutes";"Coffee substitutes containing coffee in any proportion.";656
"0659";"Coffee Extracts";"Essences and concentrates, including instant coffee, roasted chicory
and other coffee substitutes, extracts and essences thereof.";656
"0660";"Coffee Husks and Skins";"";656
"0661";"COCOA BEANS
Theobroma cacao";"The seeds contained in the fruit of the cacao- tree, including whole
or broken, raw or roasted.";0
"0662";"Cocoa Paste";"Obtained by grinding roasted cocoa beans. Also called liquor. Not
defatted.";661
"0663";"Cocoa Husks and Shells";"Including skins and other cocoa waste.";661
"0664";"Cocoa Butter";"Obtained by hot-pressing either cocoa paste or the whole bean.
Includes the fat and oil.";661
"0665";"Cocoa Powder and Cake";"Wholly or partly defatted paste (cake) and cake reduced to powder,
without added sugar or other sweeteners.";661
"0666";"Chocolate Products nes";"Includes sweetened cocoa powder, chocolate and other food preparations
containing cocoa, as well as sugar confectionery containing cocoa in
any amount. Excludes white chocolate
(see 0168 in Chapter .).";661
"0667";"TEA
Camellia sinensis; Thea
sinensis; Thea assaamica";"Includes green tea (unfermented), black tea (fermented), and partially
fermented tea. Excludes green tea eaten as a vegetable.";0
"0671";"MATE
Ilex paraguayensis";"The dried leaves of certain shrubs of the holly family which grow in
South America. Prepared in a way similar to tea.";0
"0672";"Extracts of Tea and Mate";"Includes essences, concentrates and preparations of tea and matÂ‚.";671
"0674";"TEA NES";"Various plants used for making infusions like tea, i.e. herbal teas.";0
"0866";"CATTLE
common ox (Bos taurus);
zebu, humped ox (Bos indicus);
Asiatic ox (subgenus Bibos);
Tibetan yak (Poephagus grunniens)";"Animals of the genus listed, regardless of age, sex, or purpose
raised. Data are expressed in number of heads.";0
"0946";"BUFFALOES
Indian, Asiatic, pigmy, water
buffalo (Bubalus bubalus;
B. arnee; B. depressicornis);
African buffalo (genus Syncerus);
American bison (Bison bison);
European bison (Bison bonasus);
beeffalo (cross between a bison and a domesticated beef animal)";"See 0866. Excludes wild bisons and buffaloes.";0
"0976";"SHEEP
Ovis spp.";"See 0866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan.";0
"1016";"GOATS
Capra spp.";"See 0866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir
and Angora.";0
"1034";"PIGS
domestic pig (Sus domestica);
wild boar (Sus scrofa)";"See 0866. Excludes non-domesticated wild boars.";0
"1057";"CHICKENS
fowl (Gallus domesticus);
Guinea fowl (Numida meleagris";"";0
"1068";"DUCKS
Anas spp.";"See 1057.";0
"1072";"GEESE
Anser spp.";"See 1057.";0
"1079";"TURKEYS
Meleagris gallopavo";"See 1057.";0
"1083";"PIGEONS AND OTHER BIRDS
Including inter alia:
partridge (Alectoris rufa);
pigeon (Columba livia);
quail (Coturnis spp.);
turtle dove, pheasant, etc.";"See 1057.";0
"1096";"HORSES
Equus caballus";"See 0866.";0
"1107";"ASSES
Equus asinus";"See 0866.";0
"1110";"MULES";"Includes hinnies. Mules are offspring of a male ass and a female horse
(mare); a hinny is the offspring of a female ass and a male horse
(stallion). Both are sterile. See 0866.";0
"1126";"CAMELS
Bactrian camel (Camelus bactrianus);
Arabian camel (C. dromedarius)";"See 0866.";0
"1157";"OTHER CAMELIDS
Various species of Lama:
e.g. glama pacos (alpaca);
peruana (llama); huanacos
(guanaco>); vicugna (vicuÂ¤a)";"See 0866.";0
"1140";"RABBITS
Oryctolagus cuniculus";"See 0866. May include domesticated hares (Lepus spp.). Data are
expressed in thousands.";0
"1150";"OTHER RODENTS";"See 0866. Includes only those used mainly for meat, e.g. Guinea pig.
Rodents used mainly for fur skins are included in Code 1169. Data are
expressed in thousands.";0
"1169";"LIVE ANIMALS, NON- FOOD NES";"Any animal not raised for food. External trade data also include wild
animals.";0
"1171";"LIVE ANIMALS NES";"Any other animal grown for meat, eggs, feathers and skins, e.g.
ostrich, antelope, deer, reindeer, chamois.";0
"1181";"BEEHIVES
Apis mellifica; A. dorsata;
A. florea; A. indica";"A beehive is an artificial habitation for bees.";0
"0882";"COW MILK, WHOLE (FRESH)";"Production data refer to raw milk containing all its constituents.
Trade data normally cover milk from any animal, and refer to milk that
is not concentrated, pasteurized, sterilized or other-wise preserved,
homogenized or peptonized.";0
"0883";"Standardized Milk";"Milk in which the fat content is adjusted to a predetermined value
without altering any other constituents.";882
"0885";"Cream, Fresh";"That portion of milk which is rich in milk fat and is separated by
skimming or centrifuging.";882
"0886";"Butter of Cow Milk";"Emulsion of milk fat and water that is obtained by churning cream.
Trade data cover butter from the milk of any animal.";882
"0887";"Ghee from Cow Milk";"Butter from which the water has been removed. Very common in hot
countries. Includes also anhydrous butterfat or butter oil.";882
"0888";"Skim Milk of Cows";"Milk from which most of the fat has been removed.";882
"0889";"Whole Milk, Condensed";"Milk and cream from which water has been partly removed after
heat-treating and concentrating. Normally sucrose is added to give the
product stability and bacteriological safety.";882
"0890";"Whey, Condensed";"Whey paste.";882
"0891";"Yoghurt";"A fermented milk food.";882
"0892";"Yoghurt, Concentrated or Unconcent";"Includes additives such as sugar, flavouring materials, fruit or
cocoa.";882
"0893";"Buttermilk, Curdled Milk, Acidifie";"Residue from butter making. Includes kephir.";882
"0894";"Whole Milk, Evaporated";"Milk and cream from which the water has been partly removed and which
has been heat- treated to render it bacteriologically safe and stable.";882
"0895";"Skim Milk, Evaporated";"Same as 0894, but applied to skim milk.";882
"0896";"Skim Milk, Condensed";"Same as 0889, but applied to skim milk.";882
"0897";"Dry Whole Cow Milk";"Milk and cream from which water has been completely removed by various
methods. In form of powder, granules or other solid forms. May contain
added sugar or other sweeteners.";882
"0898";"Dry Skim Cow Milk";"Same as 0897, but from skim milk. Normally does not exceed 1.5% fat
content.";882
"0899";"Dry Buttermilk";"";882
"0900";"Dry Whey";"Used in both food and animal feed.";882
"0901";"Cheese from Whole Cow Milk";"Curd of milk that has been coagulated and separated from whey. May
include some skimmed milk.";882
"0903";"Whey, Fresh";"The liquid part of the milk that remains after the separation of curd
in cheese making. Its main food use is in the preparation of whey
cheese, whey drinks and fermented whey drinks. The main industrial
uses are in the manufacture of lactose, whey paste and dried whey.";882
"0904";"Cheese from Skimmed Cow Milk";"May include some whole milk.";882
"0905";"Whey Cheese";"";882
"0907";"Processed Cheese";"";882
"0173";"Lactose";"See Chapter 3.";882
"0917";"Casein";"The main protein constituent of milk. Casein is obtained from skimmed
milk by precipitation (curdling) with acids or rennet.";882
"0908";"Reconstituted Milk";"Obtained by adding water, fat, etc. to milk powder.";882
"0909";"Products of Natural Milk Constitue";"";882
"0910";"Ice Cream and Edible Ice";"A product with a milk or cream base to which sweeteners, eggs, etc.
have been added.";882
"0951";"BUFFALO MILK";"See 0882 and derived products.";0
"0952";"Butter of Buffalo Milk";"";951
"0953";"Ghee, from Buffalo Milk";"";951
"0954";"Skim Milk of Buffalo";"Cheese of Buffalo Milk";951
"0982";"SHEEP MILK";"See 0882 and derived products.";0
"0983";"Butter and Ghee of Sheep Milk";"";982
"0984";"Cheese of Sheep Milk";"";982
"0985";"Skim Sheep Milk";"";982
"1020";"GOAT MILK";"See 0882 and derived products.";0
"1021";"Cheese of Goat
Milk";"";1020
"1022";"Butter of Goat
Milk";"";1020
"1023";"Skim Milk of Goat";"";1020
"1062";"HEN EGGS";"Weight in shell.";0
"1067";"HEN EGGS,
(NUMBER)";"";0
"1063";"Eggs, Liquid";"Whole eggs, not in the shell, and egg yolks in liquid form that are
frozen or otherwise preserved.";1067
"1064";"Eggs, Dried";"Whole eggs and egg yolks, dried or powdered.";1067
"0916";"Egg Albumin";"The main protein constituent of egg white.";1067
"1091";"EGGS, EXCLUDING HEN
EGGS";"Weight in shell.";0
"1092";"EGGS, EXCLUDING HEN EGGS
(NUMBER)";"";0
